Tên sản phẩm,Giá (VNĐ),Thương hiệu,Đã bán,Điểm đánh giá,Số lượng đánh giá,Danh Mục,platform
Kem Chống Nắng Eucerin Kiềm Dầu & Ngừa Mụn 50ml,379000,Eucerin,61,4.8,71,Chăm sóc da mặt,Hasaki
Xịt Khoáng Evoluderm Cấp Nước & Làm Dịu Da 400ml,130000,Evoluderm,176,4.8,41,Chăm sóc da mặt,Hasaki
Kem Dưỡng Olay Regenerist Ngừa Lão Hóa Da Ban Đêm 50g,317000,Olay,71,5.0,10,Chăm sóc da mặt,Hasaki
"Kem Dưỡng Avène Làm Lành Da Nội Sinh, Ngừa Nhiễm Khuẩn 40ml",288000,Avène,78,4.9,34,Chăm sóc da mặt,Hasaki
Nước Hoa Hồng Simple Làm Dịu Da & Cấp Ẩm 200ml,107000,Simple,208,4.9,76,Chăm sóc da mặt,Hasaki
Sữa Chống Nắng Sunplay Hiệu Chỉnh Sắc Da 50g (Tím),130000,Sunplay,171,4.8,85,Chăm sóc da mặt,Hasaki
"Serum Tia'm Làm Sáng, Phục Hồi Cho Da Dầu Mụn, Nhạy Cảm 40ml",275000,TIA'M,81,5.0,10,Chăm sóc da mặt,Hasaki
Gel Rửa Mặt SVR Không Chứa Xà Phòng Cho Da Dầu 200ml,263000,SVR,84,4.9,46,Chăm sóc da mặt,Hasaki
Gel Dưỡng I'm from Dưỡng Ẩm Và Kiểm Soát Dầu 75g,328000,I'm from,67,4.8,49,Chăm sóc da mặt,Hasaki
Combo 10 Mặt Nạ Sur.Medic+ Tinh Chất Glutathione Làm Sáng Da 30g,228000,Sur.Medic+,96,5.0,26,Chăm sóc da mặt,Hasaki
"Serum Eucerin Dưỡng Sáng Da, Mờ Thâm Nám 30ml",1077000,Eucerin,20,5.0,12,Chăm sóc da mặt,Hasaki
"Gel Rửa Mặt La Roche-Posay Dành Cho Da Dầu, Nhạy Cảm 200ml",341000,La Roche-Posay,63,4.9,142,Chăm sóc da mặt,Hasaki
"Serum So'Natural Tái Tạo Da Sinh Học, Mờ Thâm Sáng Da 35ml",295000,So'Natural,71,5.0,14,Chăm sóc da mặt,Hasaki
Kem Dưỡng Olay Total Effects Ngừa Lão Hóa Da Ban Đêm 50g,228000,Olay,91,4.8,14,Chăm sóc da mặt,Hasaki
Dung Dịch Tẩy Da Chết Paula’s Choice 2% BHA 118ml,649000,Paula's Choice,32,4.9,154,Chăm sóc da mặt,Hasaki
"Combo 10 Mặt Nạ Sinh Học Emmié Phục Hồi, Dịu Da 25g",250000,Emmié by Happy Skin,82,5.0,14,Chăm sóc da mặt,Hasaki
Sữa Rửa Mặt CeraVe Làm Sạch & Tẩy Tế Bào Chết Dịu Nhẹ 236ml,290000,CeraVe,69,4.9,115,Chăm sóc da mặt,Hasaki
Sáp Tẩy Trang Banila Co Original Cho Mọi Loại Da 100ml,308000,Banila Co,65,4.9,8,Chăm sóc da mặt,Hasaki
Kem Dưỡng CeraVe Cho Da Khô Đến Rất Khô 340g,341000,CeraVe,58,5.0,12,Chăm sóc da mặt,Hasaki
Kem Dưỡng Hatomugi Cấp Ẩm & Làm Sáng Da 300g,88000,Hatomugi,223,4.7,27,Chăm sóc da mặt,Hasaki
Kem Dưỡng GoodnDoc Rau Má Dưỡng Ẩm Phục Hồi Da 50ml,399000,GoodnDoc,49,4.8,13,Chăm sóc da mặt,Hasaki
"Serum Balance Active Formula Làm Sáng Da, Mờ Thâm 30ml",126000,Balance Active Formula,155,4.9,52,Chăm sóc da mặt,Hasaki
"Kem Dưỡng Obagi Clinical Kinetin+ Giúp Dưỡng Ẩm, Làm Dịu Da 50ml",1230000,Obagi,16,5.0,10,Chăm sóc da mặt,Hasaki
Sữa Rửa Mặt Cocoon Chiết Xuất Từ Nghệ Hưng Yên 310ml,194000,Cocoon,100,4.9,8,Chăm sóc da mặt,Hasaki
"Mặt Nạ Wonjin Cung Cấp Năng Lượng, Phục Hồi Chuyên Sâu 30g",22000,WonJin,864,5.0,15,Chăm sóc da mặt,Hasaki
Sữa Chống Nắng Anessa Dưỡng Da Kiềm Dầu 20ml (Mới),178000,Anessa,107,4.9,43,Chăm sóc da mặt,Hasaki
"Serum Some By Mi Retinol 0.1% Ngừa Lão Hóa, Căng Bóng Da 30ml",328000,Some By Mi,58,5.0,12,Chăm sóc da mặt,Hasaki
"Serum 9Wishes Dưỡng Sáng Da, Giảm Thâm 25ml",211000,9Wishes,89,4.9,36,Chăm sóc da mặt,Hasaki
Bông Tẩy Trang Mihoo Kokimi Bông Vuông Túi 240 Miếng,47000,Mihoo,395,4.9,39,Chăm sóc da mặt,Hasaki
